Panel,Subject_ID,sex,PC1,PC2,EV_PC1,EV_PC2
3A,M1,Male,-17.92400638805682,7.140277825484196,0.19090075948037513,0.18728949177158127
3A,M2,Male,-14.647359839567844,21.52172696843715,0.19090075948037513,0.18728949177158127
3A,M3,Male,-2.451639733318976,15.490071487083314,0.19090075948037513,0.18728949177158127
3A,M4,Male,-10.38659998408067,7.762272759058481,0.19090075948037513,0.18728949177158127
3A,M5,Male,-1.2525771052963013,3.687212241210428,0.19090075948037513,0.18728949177158127
3A,M6,Male,11.211318627197807,1.1143439016922554,0.19090075948037513,0.18728949177158127
3A,M7,Male,11.403967149919167,7.245680699187766,0.19090075948037513,0.18728949177158127
3A,M8,Male,8.744608634053025,4.51217340170776,0.19090075948037513,0.18728949177158127
3A,M9,Male,11.596974331340363,4.986851964683892,0.19090075948037513,0.18728949177158127
3A,M10,Male,12.555038013486712,2.896769044091635,0.19090075948037513,0.18728949177158127
3A,F1,Female,10.573360933215683,7.997716047477741,0.19090075948037513,0.18728949177158127
3A,F2,Female,7.303649977822915,-4.090478766523642,0.19090075948037513,0.18728949177158127
3A,F3,Female,9.49827129760259,-5.586142519311675,0.19090075948037513,0.18728949177158127
3A,F4,Female,-9.961704125940487,-4.321958699362207,0.19090075948037513,0.18728949177158127
3A,F5,Female,-17.69600359307616,-11.56855379536775,0.19090075948037513,0.18728949177158127
3A,F6,Female,-5.283447366600249,-9.094888860661632,0.19090075948037513,0.18728949177158127
3A,F7,Female,-1.6981020608430737,-12.323332798437105,0.19090075948037513,0.18728949177158127
3A,F8,Female,0.6268846604041252,-15.359752445801599,0.19090075948037513,0.18728949177158127
3A,F9,Female,-0.49602057301416036,-7.272419466011263,0.19090075948037513,0.18728949177158127
3A,F10,Female,-1.71661285524765,-14.737568988637737,0.19090075948037513,0.18728949177158127
3B,F1,Female,10.026727088419994,2.540576840404475,0.25820337541801214,0.20377123754409787
3B,F10,Female,-12.879915384310666,-13.681685805936677,0.25820337541801214,0.20377123754409787
3B,F2,Female,8.957256872982196,-6.391790460478961,0.25820337541801214,0.20377123754409787
3B,F3,Female,1.5818612569179584,-10.29645993399779,0.25820337541801214,0.20377123754409787
3B,F4,Female,-5.964914489846718,-10.872864965973982,0.25820337541801214,0.20377123754409787
3B,F5,Female,-9.729857837318399,-5.667306787492955,0.25820337541801214,0.20377123754409787
3B,F6,Female,-9.479725203474565,-9.277606576829388,0.25820337541801214,0.20377123754409787
3B,F7,Female,-6.9388491312099765,-14.187737716579411,0.25820337541801214,0.20377123754409787
3B,F8,Female,-0.918444157751162,-6.923117799752557,0.25820337541801214,0.20377123754409787
3B,F9,Female,-13.19158445124081,-9.021106497571157,0.25820337541801214,0.20377123754409787
3B,M1,Male,-12.440024178356545,15.422549737688225,0.25820337541801214,0.20377123754409787
3B,M10,Male,16.664572043702503,-1.1875892772138004,0.25820337541801214,0.20377123754409787
3B,M2,Male,-18.282864996653903,21.39921515283952,0.25820337541801214,0.20377123754409787
3B,M3,Male,1.162201293667924,13.718963136747254,0.25820337541801214,0.20377123754409787
3B,M4,Male,-4.878390203013539,10.85231604298275,0.25820337541801214,0.20377123754409787
3B,M5,Male,-6.966975629672372,12.907056807259329,0.25820337541801214,0.20377123754409787
3B,M6,Male,14.660001499644686,0.6990414219966175,0.25820337541801214,0.20377123754409787
3B,M7,Male,19.230712753562003,3.363104426723538,0.25820337541801214,0.20377123754409787
3B,M8,Male,11.108216750674819,3.5906819852091623,0.25820337541801214,0.20377123754409787
3B,M9,Male,18.27999610327657,3.013760269975829,0.25820337541801214,0.20377123754409787
3C,F1,Female,-2.2044321757059118,0.8079023887264389,0.3258097845483833,0.18817230462494755
3C,F10,Female,0.53836845228775,-2.677750074154132,0.3258097845483833,0.18817230462494755
3C,F2,Female,-1.1046934020116062,-0.9177691475839078,0.3258097845483833,0.18817230462494755
3C,F3,Female,-0.4800877670537303,-1.5754770742241997,0.3258097845483833,0.18817230462494755
3C,F4,Female,0.7840754664180818,-2.605650020010013,0.3258097845483833,0.18817230462494755
3C,F5,Female,1.0242053315217792,-0.7759853484807507,0.3258097845483833,0.18817230462494755
3C,F6,Female,0.11973112216872298,-1.767181977935912,0.3258097845483833,0.18817230462494755
3C,F7,Female,-0.14283090347255,-2.686625137317853,0.3258097845483833,0.18817230462494755
3C,F8,Female,-0.17375475098730755,-1.3007014453912524,0.3258097845483833,0.18817230462494755
3C,F9,Female,1.935010619764409,-2.7420927763176692,0.3258097845483833,0.18817230462494755
3C,M1,Male,3.8501529462818427,3.671698546439623,0.3258097845483833,0.18817230462494755
3C,M10,Male,-3.2579148245777287,0.6839425851193621,0.3258097845483833,0.18817230462494755
3C,M2,Male,3.774905843986704,1.4462929950490082,0.3258097845483833,0.18817230462494755
3C,M3,Male,1.0485968520805768,2.046685737634311,0.3258097845483833,0.18817230462494755
3C,M4,Male,3.92608918429715,1.2606806429598125,0.3258097845483833,0.18817230462494755
3C,M5,Male,3.2862326784918365,1.1161858858190994,0.3258097845483833,0.18817230462494755
3C,M6,Male,-3.636261380397815,0.8220903979893901,0.3258097845483833,0.18817230462494755
3C,M7,Male,-3.946940137610729,2.2123179825452244,0.3258097845483833,0.18817230462494755
3C,M8,Male,-1.7556365896755883,1.8999630589357632,0.3258097845483833,0.18817230462494755
3C,M9,Male,-3.584816565805891,1.0814727801976582,0.3258097845483833,0.18817230462494755
